作者,名称,类型,进度,字数,发表时间,作品视角,所属系列,版权转化,签约状态,非v章节章均点击数,总书评数,当前被收藏数,文章积分,内容标签,评分,评价人数,五星比例,四星比例,三星比例,二星比例,一星比例
引路星,你亲我一下,原创-纯爱-近代现代-爱情,完结,168714,2022-07-07 10:29:43,主受,已完结,"中国大陆出版最新签约,广播剧签约",已签约,531821,52680,353575,"4,008,487,680","破镜重圆,甜文,轻松",8.9,4350,60%,30%,7%,1%,2%
卿隐,探花,原创-言情-架空历史-爱情,完结,606491,2025-03-26 07:00:00,女主,朝堂文两篇 之 一,中国大陆出版最新签约,已签约,292943,281328,341586,"5,207,165,952","穿越时空,女扮男装,朝堂,正剧,群像",9.7,1997,86%,12%,2%,0%,0%
牵丝偶,她被赶出侯府后,原创-言情-架空历史-奇幻,完结,957000,2024-09-02 21:12:47,女主,全文完结,中国大陆出版最新签约,已签约,205884,66299,188605,"1,698,156,160","灵异神怪,情有独钟,甜文,爽文,复仇虐渣",9.7,865,88%,9%,3%,0%,0%
羡山,春水摇摇晃,原创-言情-近代现代-爱情,完结,667082,2025-06-14 03:44:31,女主,下本写,中国大陆出版最新签约,已签约,42884,10377,53078,"439,770,112","情有独钟,成长,暗恋,扶贫",9.8,60,93%,5%,2%,0%,0%
荔枝很甜,扶鸾,原创-言情-架空历史-爱情,完结,459110,2024-06-30 23:21:58,女主,两篮荔枝,中国大陆出版最新签约,已签约,32082,7583,30038,"589,903,232","宫廷侯爵,情有独钟,破镜重圆,甜文,朝堂,正剧",9.1,59,68%,24%,7%,0%,2%
钦点废柴,甜愿,原创-言情-近代现代-爱情,完结,320644,2025-06-24 18:08:22,女主,排队开搞,中国大陆出版最新签约,已签约,14202,7339,12644,"151,407,472","都市,情有独钟,天之骄子,婚恋",9.5,39,77%,23%,0%,0%,0%
岑祈,止于夏,原创-言情-近代现代-爱情,完结,103307,2025-07-20 20:00:00,女主,春夏秋冬,中国大陆出版最新签约,已签约,2209,317,3474,"29,248,870","花季雨季,情有独钟,天之骄子,校园,轻松,BE",9.6,21,81%,19%,0%,0%,0%
十尾兔,今岁无忧,原创-言情-架空历史-武侠,完结,657116,2024-10-24 19:27:28,女主,这个是真爱,"电视剧签约,网络剧签约,微短剧签约,中国大陆出版最新签约",已签约,65785,10932,71892,"1,200,205,568","江湖,情有独钟,朝堂,成长,群像",9.4,207,76%,19%,4%,1%,0%
北途川,彗星来访,原创-言情-近代现代-爱情,完结,293523,2024-10-23 22:00:00,女主,校园文 之 校园,中国大陆出版最新签约,已签约,23631,9907,23156,"526,836,832","青梅竹马,甜文,成长,校园,日常",9.4,94,73%,23%,3%,0%,0%
习又,服输,原创-言情-近代现代-爱情,完结,498104,2025-04-18 19:51:27,女主,进行中,中国大陆出版最新签约,已签约,98759,13869,94121,"1,132,331,136","情有独钟,天作之合,甜文",9.8,79,91%,9%,0%,0%,0%
法采,惟许侯夫人,原创-言情-架空历史-爱情,完结,584789,2025-02-19 22:22:22,女主,古言,中国大陆出版最新签约,已签约,71417,18953,79680,"742,383,808","宫廷侯爵,天作之合,正剧,先婚后爱",9.6,81,80%,17%,2%,0%,0%
素光同,难道我们不是宿敌吗,原创-言情-近代现代-剧情,完结,443859,2025-08-10 23:56:47,女主,建功立业,中国大陆出版最新签约,已签约,43961,41468,42182,"1,254,495,616","情有独钟,平步青云,励志,校园",9.6,101,80%,19%,1%,0%,0%
见木春,他说未来可期,原创-言情-近代现代-爱情,完结,253894,2025-11-03 22:40:39,女主,2025柠檬糖,中国大陆出版最新签约,已签约,821,316,1143,"22,197,608","天之骄子,业界精英,成长,校园,暗恋,救赎",10,2,100%,0%,0%,0%,0%
字听,躲雨,原创-言情-近代现代-爱情,完结,406624,2025-08-22 00:46:56,女主,茉莉结 之 涩石榴,中国大陆出版最新签约,已签约,62998,13701,82699,"1,101,488,896","情有独钟,天之骄子,校园,暗恋",9.7,134,90%,7%,1%,1%,0%
木苏里,判官,原创-纯爱-近代现代-奇幻,完结,539210,2020-04-28 00:01:07,不明,,"广播剧签约,动漫签约,中国大陆出版最新签约,亚洲出版签约,衍生品签约,繁体出版(港/台)签约,海外动画签约,海外漫画签约,外文广播剧签约,欧美出版签约",已签约,1463681,1304378,1525481,"39,632,584,704","强强,灵异神怪,轻松",9.8,23389,91%,8%,1%,0%,0%
狮子星系,饲养小怪物,原创-纯爱-近代现代-爱情,完结,806476,2024-02-02 23:13:27,主受,毕业生,中国大陆出版最新签约,已签约,218303,143228,209282,"5,481,629,696","强强,科幻,游戏网游,爽文,读档流",9.5,1925,75%,23%,2%,0%,0%
七宝酥,当我上门遛狗发现狗主,原创-言情-近代现代-爱情,完结,394349,2025-04-22 20:52:20,女主,写完啦,中国大陆出版最新签约,已签约,142919,226665,140200,"4,207,557,888","都市,因缘邂逅,甜文,轻松",9.7,735,88%,11%,1%,0%,1%
起跃,非富即贵,原创-言情-架空历史-爱情,完结,510622,2025-09-12 14:34:44,女主,正在更新中求收藏求包养,中国大陆出版最新签约,已签约,113159,39365,128721,"2,101,690,496","强强,宫廷侯爵,天作之合,甜文,爽文,正剧",9.4,531,81%,13%,2%,2%,1%
钦点废柴,礼物,原创-言情-近代现代-爱情,完结,415515,2024-11-25 11:54:39,女主,警察/卧底/烂仔,中国大陆出版最新签约,已签约,44987,9291,51499,"391,484,800","都市,欢喜冤家,近水楼台,青梅竹马,正剧",9.6,256,86%,11%,2%,0%,0%
余言树,以一朵小花的名义,原创-言情-近代现代-爱情,完结,142659,2025-07-08 00:00:00,女主,完结系列,中国大陆出版最新签约,已签约,172,400,275,"9,619,384","情有独钟,校园,轻松,暗恋,HE",10,3,100%,0%,0%,0%,0%
